Producto;Fecha;Tienda;Estado;Precio;Precio sin oferta
NIVEA SUN Sensitive Spray Antialergias FP50+ - Protector Solar Corporal par Alergias solares e Irritaciones - Protección Inmediata UVA/UVB - Sin Perfume - Resistente al Agua - Piel Sensible - 270 ml?;17/05/2025;Amazon;Recibido;12,68 €;
AXCO Navaja Multiusos, herramienta multiusos 18 en 1, funda transportadora de cuchillo supervivencia en cinturon;27/05/2025;Amazon;Recibido;11,99 €;19,00 €
Toilet paper Scottex 8 rolls (7PACK) padded 56 rolls in total with 3 layers of comfort and softness;06/06/2025;aliexpress;Recibido;15,84 €;18,61 €
Tableta Xiaomi Redmi Pad 2 Versión Global 8GB+256GB,;22/06/2025;miravia;Recibido;153,31 €;199,00 €
NORIT Bebé - Detergente Líquido para Ropa de Bebé, Pieles Sensibles y Atópicas - Pack de 4 Unidades de 1125 Mililitros, 4500 Mililitros;04/07/2025;Amazon;Recibido;15,16 €;
Destornillador de trinquete portátil 10 en 1, destornillador oculto multifuncional;04/07/2025;aliexpress;Recibido;7,99 €;
Funda de teclado para Xiaomi Redmi Pad 2 de 11 pulgadas para Redmi Pad 2, funda con soporte 2025, teclado ruso, portugués, español y alemán;04/07/2025;aliexpress;Recibido;22,38 €;
"4mm/10 mecha redonda de algodón con Alcohol lámpara de aceite mechas quemador para accesorios de lámparas de aceite de vidrio 
";04/07/2025;aliexpress;Recibido;2,65 €;
"Xiaomi gafas de sol inteligentes gafas Bluetooth llamada deportes al aire libre auriculares HIFI luz azul impermeable Anti-UV para hombres mujeres 2025
Color: F07";04/07/2025;aliexpress;Recibido;9,79 €;
"50 uds almohadillas para el sudor en las axilas, protectores absorbentes del sudor lavables, escudo de almohadillas de transpiración para vestido
";04/07/2025;aliexpress;Recibido;1,92 €;
Cabezal de ducha de gran flujo 9 en 1 con filtro, 6 modos, masaje de ahorro de agua de alta presión, grifo de ducha portátil, accesorios de baño;04/07/2025;aliexpress;Recibido;1,11 €;
Colhogar Ultra Suave XXL 7x6 - Papel Higiénico Suave - Paquete con 42 Rollos Extra Grandes - Papel de Baño de 2 Capas - 100% Libre de Perfume - Blanco;08/07/2025;Amazon;Recibido;12,22 €;26,40 €
Amazon Basics Bolsas de basura para perros con dispensador y clip para correa, Sin fragancia, 900 bolsas (60 paquetes de 15);10/07/2025;Amazon;Recibido;14,88 €;19,37 €
1906 Reserva Especial - Cerveza Lager Extra, Pack de 24 Latas x 33 cl, Sabor y Aroma Tostado, Galardonada Internacionalmente, 6,5% Volumen de Alcohol, El embalaje puede variar;10/07/2025;Amazon;Recibido;14,99 €;19,46 €
1906 Reserva Especial - Cerveza Lager Extra, Pack de 24 Latas x 33 cl, Sabor y Aroma Tostado, Galardonada Internacionalmente, 6,5% Volumen de Alcohol, El embalaje puede variar;10/07/2025;Amazon;Recibido;14,99 €;19,46 €
2 Herbal Essences Champú Reparador Aceite Argán 680ml Pelo Dañado. Hidratación Intensa. De Origen Natural. Sin Siliconas;10/07/2025;Amazon;Recibido;12,27 €;17,00 €
Jack & Jones Jjimarco Jjdave AKM Black Noos Pantalones, Negro, 27W / 30L para Hombre;10/07/2025;Amazon;Recibido;14,70 €;21,00 €
3 Rexona Desodorante Aerosol Antitranspirante para hombre Cobalt Dry Pack Ahorro 2x 200ml, El embalaje puede variar;11/07/2025;Amazon;Recibido;7,72 €;21,00 €
Lacer PDL – Pack de Pasta Dentífrica 125 ml + 200 ml Gratis Acción Antiplaca, Anticaries, Antimicrobiana, Combate la Flora que Causa las Caries, Fortalece el Esmalte y la Dentina, Protección Integral;13/07/2025;Amazon;Recibido;10,92 €;12,13 €
Juguete de peluche con dibujos de cachorros para perros, juguetes para masticar y chirrido para perros pequeños, productos para mascotas, accesorios para perros;21/07/2025;aliexpress;Recibido;2,79 €;
Batidor de huevos eléctrico recargable Xiaomi con soporte, batidor manual ajustable de 3 velocidades, mezclador de bebidas, Espumador de leche para café;21/07/2025;aliexpress;Recibido;8,39 €;
Cuchillo de bolsillo plegable, cuchillo llavero, cuchillo militar, regalos para el día del padre, supervivencia al aire libre, tijeras, abridor de botellas, sierra, todo en uno;21/07/2025;aliexpress;Recibido;4,29 €;
Tijeras de enfermería para primeros auxilios, instrumento multiuso, afiladas, romo de 15,5 cm, de acero inoxidable, autoclavable, para uso doméstico;23/07/2025;Amazon;Recibido;8,19 €;
Lavazza, Crema e Gusto Classico, Café Molido Natural, Ideal para Cafetera Italiana, de Filtro y Francesa, con Notas Aromáticas de Especias, Arábica y Robusta, Intensidad 7, Tueste Oscuro, 250 g;22/07/2025;Amazon;Recibido;5,64 €;
"Estufa de Cassette portátil para exteriores, estufa de Gas butano para olla caliente, barbacoa, cocina de acampada, diseño compacto y ligero, 2025 
";18/07/2025;aliexpress;Recibido;10,70 €;
RUBIK'S - Cubo DE Rubik 3X3 Phantom: Juego de Rompecabezas 3D, Cubo Mágico con Tecnología Moderna para Desafiar la Mente;30/07/2025;Amazon;Recibido;4,29 €;
Album de Fotos Scrapbook Espiral 60 Páginas para Pegar y Escribir - 215 * 150mm DIY Scrapbooking Album para Bebé y Regalo de Cumpleaños;03/08/2025;Amazon;Recibido;8,97 €;
Pedido zooplus 405868928;19/08/2025;Zooplus;Recibido;54,86 €;
Colhogar Protect Cuida&Protege Odor Block 7x6 - Papel Higiénico Suave y Resistente - Paquete com 42 rollos - 3 Capas - rollos color blanco y con una fragancia talco;27/08/2025;Amazon;Recibido;13,22 €;18,31 €
Bolsas de vacío reutilizables;01/09/2025;aliexpress;Recibido;12,19 €;
Pestillos magnéticos;01/09/2025;aliexpress;Recibido;3,49 €;
Cinta eléctrica líquida;01/09/2025;aliexpress;Recibido;3,16 €;
Cathedral - Caja fuerte (A4), color negro;03/09/2025;Amazon;Recibido;17,26 €;
Lavazza, Crema e Gusto Classico, Café Molido Natural, 4 x 250 g,;03/09/2025;Amazon;Recibido;16,23 €;
3 X LITORAL Fabada Asturiana duplo dos latas de 420g (2x420g);03/09/2025;Amazon;Recibido;10,38 €;
GMKtec Mini PC 5825U, M5 Plus Dual LAN 2.5G Desktop Computer Windows 11 Pro, AMD Ryzen 7 5825U (8C/16T 4.50Ghz), 16G DDR4 RAM + 512GB Hard Drive PCle SSD, WiFi 6E, USB3.2, USB-C, BT 5.2, DP, HDMI;03/09/2025;Amazon;Recibido;289,96 €;359,96 €
Lactovit - Gel de Ducha Nutritivo e Hidratante, Piel Fuerte y Joven, Textura Cremosa y Ligera, Formulado con Protein Calcium, Uso Diario, Para Pieles Normales y Secas - 550 ml;03/09/2025;Amazon;Recibido;2,85 €;
Balay - Placa de inducción, 60 cm, Zona gigante de 28 cm, Negro, sin marco inoxidable, 3EB865FR;12/09/2025;Amazon;Recibido;276,00 €;292,70 €
Wilkinson Sword Quattro Titanium Sensitive;12/09/2025;Amazon;Recibido;6,82 €;
Lavazza, Crema e Gusto Classico, Café Molido Natural, 2 x 250 g,;17/09/2025;Amazon;Recibido;7,80 €;
ORICO Docking Station, 6 EN 1 Hub USB C con HDMI 4K@30Hz + PD100W + 3 Puertos USB 3.0+Ethernet, Multipuerto USB 3.0 Adaptador Compatible con MacBook/DELL/HP/Surface;21/09/2025;Amazon;Recibido;14,83 €;27,99 €
Magefesa K2 Gransasso set de 3 sartenes 24/26/28cm. Exterior gris, antiadherente bicapa efecto piedra, aptas para todo tipo de cocinas, especial inducción. Hasta 50% de ahorro energético.AGEFESA K2 Gransasso Juego De Sarténes, Gris Moteado, 18/20/24 cm;25/09/2025;Amazon;Recibido;32,83 €;53,00 €
4 LITORAL Fabada Asturiana -30% Sal y Grasa - Plato Preparado Sin Gluten - 420g;26/09/2025;Amazon;Recibido;6,63 €;
Casio Reloj Digital para Hombres de Cuarzo con Correa en Resina F-91W-1;11/10/2025;Amazon;Recibido;21,84 €;
Colhogar Ultra Suave Original x108 - Papel Higiénico Blanco de 2 Capas - 9 paquetes de 12 Rollos, Sin Perfume;13/10/2025;Amazon;Recibido;13,45 €;25,40 €
LACER PDL - Pasta de Dientes Duplo 2 x 125 ml, Acción Antiplaca, Anticaries, Antimicrobiana, Combate la Flora que Causa la Caries, Refuerza el Esmalte y la Dentina, Protección Integral;15/10/2025;Amazon;Recibido;9,60 €;
BIIB Regalo Hombre, Regalos Originales para Hombre, Gadget Inusual Útil Guantes LED Luminosos, Regalo Hombre Cumpleaños Mujer, Regalos Hombre Navidad Gadgets Tecnologicos;16/10/2025;Amazon;Recibido;5,59 €;14,00 €
VEDINDUST KVM Switch Dual Monitor 4K60HZ Conmutadores para 2 ordenadores compartiendo 2 monitores y 4 dispositivos USB C;22/10/2025;Amazon;Recibido;39,99 €;49,99 €
2 Alargador 10m Enchufe/Clavija Schuko Naranja 7hSevenOn;29/10/2025;Orion 91;Recibido;10,59 €;37,82 €
BENFEI Adaptador HDMI a VGA 1080P, para PC, TV, Ordenadores Portátiles y Otros Dispositivos HDMI - Negro;28/10/2025;Amazon;Recibido;7,99 €;
WARRKY Cable Displayport a HDMI (4K UHD, 2K 60Hz, 1080P@@120Hz) DP a HDMI 1.4 [Unidireccional, Trenzado Nylon] Compatible para Lenovo, Dell, HP, Samsung, PC, proyector, TV, 1.8M;31/10/2025;Amazon;Recibido;9,99 €;
Pantalones cargo para hombre, informales, con cordón, elásticos, para senderismo, con múltiples bolsillos, Negro -, X-Large;11/11/2025;Amazon;Recibido;0,00 €;
Pantalones deportivos tipo cargo para hombre, con múltiples bolsillos, elásticos, con cordón, informales, atléticos, marino, Large;11/11/2025;Amazon;Recibido;0,00 €;
Ropa interior sin costuras para mujer, ropa interior invisible, bragas de bikini para mujer, Negro -, XS;11/11/2025;Amazon;Recibido;5,07 €;
Pantalones deportivos deportivos para mujer, pantalones de yoga de pierna ancha, cómodos, con cordón, pantalones sueltos para mujer, con bolsillos, Blcak, Small;11/11/2025;Amazon;Recibido;0,00 €;
Termostato Conectado e Inteligente de Netatmo - NTH01-EN-EU;11/11/2025;Amazon;Recibido;89,70 €;
Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas;14/11/2025;Amazon;Recibido;13,39;
AstroAI Multímetro Digital, Polímetro Profesional, Voltímetro, Tester Electricista, Multimeter para Corriente CC, Voltaje CA/CC, Resistencia, Continuidad y Diodos de Prueba, Azul;14/11/2025;Amazon;Recibido;13,99 €;
Scottex Papel Higiénico Original 96 rollos, 6 packs de 16 rollos;14/11/2025;Amazon;Recibido;20,24 €;
"Netatmo Termostato Inteligente y Conectado de Ahorro de energía, WiFi, controla la calefacción de Forma remota Mediante la aplicación|Compatible con Calderas Individuales, NTH01-AMZ 

+ XCover B2C 2 años de Daños Accidentales Calefactores de 80€ a 90€";20/11/2025;Amazon;Recibido;93,34 €;
Camiseta blanca YSABEL MORA Camiseta Interior Térmica Manga Larga Hombre Retención de Calor Ideal Invierno Interior Afelpado Composición 92% Poliéster 8% Elastano;28/11/2025;Amazon;Recibido;12,82 €;
Camiseta negra YSABEL MORA Camiseta Interior Térmica Manga Larga Hombre Retención de Calor Ideal Invierno Interior Afelpado Composición 92% Poliéster 8% Elastano;28/11/2025;Amazon;Recibido;12,82 €;
XIAOMI Robot Vacuum T12 - Robot Aspirador y friegasuelos con Sistema Inteligente de navegación láser (LDS), succión de 3500Pa, rutas de Limpieza en Zigzag, Negro (Versión ES + 3 años de garantía);01/12/2025;Amazon;Recibido;99,99 €;
1906 Reserva Especial - Cerveza Lager Extra, Pack de 24 Latas x 33 cl,;01/12/2025;Amazon;Recibido;16,99 €;
beil Edredón Prestigio Quallofil Allerban anti-ácaros Algodón blanco 350g/m², Cama 150/160 - 220 x 240 cm;03/12/2025;Amazon;Recibido;104,49 €;
Sanytol - Limpiador Desinfectante Multiusos, Elimina Bacterias, Hongos y Virus Sin Lejía, Perfume Eucaliptus - Pack de 4 x 750 Ml = 3L;03/12/2025;Amazon;Recibido;13,00 €;
Brennenstuhl Ecolor Regleta de enchufes de 4 vías con Enchufe USB (Regleta con 2X USB C, Interruptor y Cable de 1,5m) Negro;03/12/2025;Amazon;Recibido;14,54 €;
24 Latas De COCA COLA / COCACOLA ZERO SABOR ORIGINAL, CAJA;01/12/2025;aliexpress;Recibido;15,43 €;
Sellador al vacío de mano de pato bonito, sellador de bolsas magnética;24/09/2025;aliexpress;Recibido;1,59 €;
"2 Silbato de supervivencia de alta Decibel para exteriores, herramienta de supervivencia de emergencia para senderismo, Camping, caza, 1-10 piezas, 3 frecuencias
2PCS";07/11/2025;aliexpress;Recibido;1,42 €;
Parches absorbentes de sudor desechables, 10 piezas, parche absorben;07/11/2025;aliexpress;Recibido;1,42 €;
Chubasquero impermeable de emergencia, Poncho desechable;07/11/2025;aliexpress;Recibido;6,45 €;
BEIMU Luces LED de neón WIFI RGBIC de 5 m, 10 m y 15 m, impermeab;20/11/2025;aliexpress;Recibido;36,33 €;
Adhesivo para drenaje de suelo, red de filtro de pelo autoadhesiva;20/11/2025;aliexpress;Recibido;1,05 €;
Beok Tuya Wifi termostato de calefacción termorregulador doméstico;16/11/2025;aliexpress;Recibido;15,58 €;
Adhesivo cuadrado de silicona para drenaje de suelo, cubierta de drenaje;26/11/2025;aliexpress;Recibido;3,14 €;
Tira de luces LED de 220V para uso en exteriores, cinta impermeable;26/11/2025;aliexpress;Recibido;17,59 €;
PULVERIZADOR DE AGUA antilluvia para vidrio de coche;30/11/2025;aliexpress;Recibido;1,99 €;
"SEAMETAL Toalla de microfibra de alta gama, toalla para lavado de coches, paño de limpieza para detalles, toalla de secado para lavado de coches, productos de limpieza absorbentes para coche 
30X60CM";30/11/2025;aliexpress;Recibido;2,19 €;
Boligrafo espia escondidas Pluma grabadora de voz Digital portátil, reproducción d;30/11/2025;aliexpress;Recibido;10,79 €;
Ballantine's Finest Whisky Escocés de Mezcla, 1L;07/12/2025;Amazon;Recibido;13,36 €;
3 Fairy Ultra Original Líquido Lavavajillas 820ML Fórmula Efectiva Que Deja Los Platos Relucientes, Impresionante Poder Antigrasa;10/12/2025;Amazon;Recibido;5,90 €;
4 Lavazza, Crema e Gusto Classico, Café Molido Natural, 4 x 250 g, para Cafetera Italiana, de Filtro y Francesa, con Notas de Especias, Arábica y Robusta, Intensidad 7, Tueste Oscuro, Amazon Exclusive;10/12/2025;Amazon;Recibido;19,71 €;
7 Doritos Tex Mex, Nachos con sabor a queso, Producto de Aperitivo, bolsa familiar, 225 gr;11/12/2025;Amazon;Recibido;9,83 €;
Idena 50107 - Paraguas de bolsillo en negro con un diámetro de 100 cm, paraguas con apertura manual, incl. funda de paraguas, aprox. 24,5 x 5 cm;12/12/2025;Amazon;Recibido;3,14 €;
Pack 6 x 1L Granini - Limonada Bebida de Limó;15/12/2025;Amazon;Recibido;6,70 €;
Flor Suavizante ropa concentrado Nenuco, 590 dosis, 1 L (Paquete de 10);18/12/2025;Amazon;Recibido;19,73 €;
Colon Gel Activo - Detergente para lavadora líquido, fórmula higiene, adecuado para ropa blanca y de color, formato gel - pack de 5, hasta 170 dosis;18/12/2025;Amazon;Recibido;22,06 €;
3Claveles 242 - Rasca vidrio de 14,5 cm, hoja de 60 mm;18/12/2025;Amazon;Recibido;3,06 €;
Quid Supreme Set 3 Tazas Vidrio 25cl Transparente;26/12/2025;Amazon;Recibido;2,99 €;
Bormioli Rocco Flora - Set 6 Vasos Vidrio Verde 26;28/12/2025;Amazon;Recibido;2,95 €;
Bormioli Rocco Flora - Set 6 Vasos Vidrio Verde 26;28/12/2025;Amazon;Recibido;2,95 €;
